GO.ID	Description	p.Val	FDR	Phenotype	Genes
GO:0046777	protein autophosphorylation	1.66e-09	1.66e-09	1	FGFR3,FLT3,PDGFRA,EGFR,TAF1,ATM,KIT,ATR,CHEK2,LRRK2,MTOR
GO:0042330	taxis	1.41e-03	1.41e-03	1	EPHA3,FGFR3,PIK3CG,EPHB6,PIK3CA,PDGFRA,EGFR,KIT,BRAF,PTPN11,NF1
GO:0006935	chemotaxis	1.41e-03	1.41e-03	1	EPHA3,FGFR3,PIK3CG,EPHB6,PIK3CA,PDGFRA,EGFR,KIT,BRAF,PTPN11,NF1
GO:0032990	cell part morphogenesis	1.09e-02	1.09e-02	1	EPHA3,FGFR3,EPHB6,PDGFRA,EGFR,KIT,BRAF,PTEN,PTPN11,LRRK2,NF1
GO:0048858	cell projection morphogenesis	1.00e-02	1.00e-02	1	EPHA3,FGFR3,EPHB6,PDGFRA,EGFR,KIT,BRAF,PTEN,PTPN11,LRRK2,NF1
GO:0000904	cell morphogenesis involved in differentiation	6.50e-06	6.50e-06	1	EPHA3,FGFR3,EPHB6,EZH2,SOX9,FOXA1,PDGFRA,EGFR,KIT,BRAF,PTEN,PTPN11,LRRK2,NF1
GO:0030182	neuron differentiation	4.49e-03	4.49e-03	1	EPHA3,FGFR3,EPHB6,SOX9,PDGFRA,EGFR,KIT,BRAF,PTEN,PTPN11,LRRK2,NF1
GO:0048666	neuron development	7.72e-03	7.72e-03	1	EPHA3,FGFR3,EPHB6,PDGFRA,EGFR,KIT,BRAF,PTEN,PTPN11,LRRK2,NF1
GO:0031175	neuron projection development	4.64e-03	4.64e-03	1	EPHA3,FGFR3,EPHB6,PDGFRA,EGFR,KIT,BRAF,PTEN,PTPN11,LRRK2,NF1
GO:0061564	axon development	2.86e-03	2.86e-03	1	EPHA3,FGFR3,EPHB6,PDGFRA,EGFR,KIT,BRAF,PTEN,PTPN11,NF1
GO:0048812	neuron projection morphogenesis	9.17e-04	9.17e-04	1	EPHA3,FGFR3,EPHB6,PDGFRA,EGFR,KIT,BRAF,PTEN,PTPN11,LRRK2,NF1
GO:0097485	neuron projection guidance	4.92e-03	4.92e-03	1	EPHA3,FGFR3,EPHB6,PDGFRA,EGFR,KIT,BRAF,PTPN11,NF1
GO:0048667	cell morphogenesis involved in neuron differentiation	5.18e-04	5.18e-04	1	EPHA3,FGFR3,EPHB6,PDGFRA,EGFR,KIT,BRAF,PTEN,PTPN11,LRRK2,NF1
GO:0007409	axonogenesis	2.48e-03	2.48e-03	1	EPHA3,FGFR3,EPHB6,PDGFRA,EGFR,KIT,BRAF,PTEN,PTPN11,NF1
GO:0007411	axon guidance	4.92e-03	4.92e-03	1	EPHA3,FGFR3,EPHB6,PDGFRA,EGFR,KIT,BRAF,PTPN11,NF1
GO:0032434	regulation of proteasomal ubiquitin-dependent protein catabolic process	3.23e-02	3.23e-02	1	RB1,TAF1,ATM,PTEN,LRRK2
GO:0032436	positive regulation of proteasomal ubiquitin-dependent protein catabolic process	2.86e-02	2.86e-02	1	RB1,TAF1,PTEN,LRRK2
GO:0010518	positive regulation of phospholipase activity	4.91e-02	4.91e-02	1	FGFR3,PDGFRA,EGFR,KIT
GO:0044843	cell cycle G1/S phase transition	2.02e-02	2.02e-02	1	CDKN2C,RB1,TP53,EGFR,ATM,PTEN
GO:0000082	G1/S transition of mitotic cell cycle	1.64e-02	1.64e-02	1	CDKN2C,RB1,TP53,EGFR,ATM,PTEN
GO:0000278	mitotic cell cycle	8.84e-04	8.84e-04	1	SMC1A,MAP3K1,STAG2,SMC3,CDKN2C,FOXA1,RB1,TP53,EGFR,ATM,PTEN,CHEK2
GO:1903047	mitotic cell cycle process	4.11e-02	4.11e-02	1	SMC1A,SMC3,CDKN2C,RB1,TP53,EGFR,ATM,PTEN,CHEK2
GO:0051726	regulation of cell cycle	5.13e-09	5.13e-09	1	BRCA1,SMC1A,ATRX,MECOM,MAP3K1,STAG2,SMC3,CDKN2C,SOX9,FOXA1,RB1,TP53,EGFR,ATM,PTEN,CHEK2,MTOR
GO:0007346	regulation of mitotic cell cycle	7.40e-04	7.40e-04	1	SMC1A,MAP3K1,FOXA1,RB1,TP53,EGFR,ATM,PTEN,CHEK2
GO:0045787	positive regulation of cell cycle	4.17e-04	4.17e-04	1	BRCA1,ATRX,FOXA1,RB1,TP53,EGFR,ATM,PTEN
GO:0010564	regulation of cell cycle process	1.02e-06	1.02e-06	1	BRCA1,SMC1A,ATRX,STAG2,SMC3,SOX9,RB1,TP53,EGFR,ATM,PTEN,CHEK2
GO:1901987	regulation of cell cycle phase transition	3.14e-02	3.14e-02	1	RB1,TP53,EGFR,ATM,PTEN,CHEK2
GO:1902806	regulation of cell cycle G1/S phase transition	1.96e-02	1.96e-02	1	RB1,TP53,EGFR,ATM,PTEN
GO:2000045	regulation of G1/S transition of mitotic cell cycle	1.44e-02	1.44e-02	1	RB1,TP53,EGFR,ATM,PTEN
GO:0045786	negative regulation of cell cycle	6.79e-06	6.79e-06	1	BRCA1,SMC1A,STAG2,SMC3,CDKN2C,RB1,TP53,ATM,PTEN,CHEK2,MTOR
GO:0010948	negative regulation of cell cycle process	4.16e-06	4.16e-06	1	BRCA1,SMC1A,STAG2,SMC3,RB1,TP53,ATM,PTEN,CHEK2
GO:0045930	negative regulation of mitotic cell cycle	1.47e-02	1.47e-02	1	SMC1A,RB1,TP53,ATM,PTEN,CHEK2
GO:0007050	cell cycle arrest	1.92e-02	1.92e-02	1	BRCA1,CDKN2C,RB1,TP53,ATM,MTOR
GO:0090068	positive regulation of cell cycle process	1.60e-02	1.60e-02	1	BRCA1,ATRX,RB1,TP53,ATM,PTEN
