GO.ID	Description	p.Val	FDR	Phenotype	Genes
GO:0044087	regulation of cellular component biogenesis	1.80e-02	1.80e-02	1	BRCA1,APC,TP53,TAF1,NOTCH1,ATM,PTEN,ATR,LRRK2
GO:0008286	insulin receptor signaling pathway	3.52e-02	3.52e-02	1	FGFR3,PIK3CA,PDGFRA,EGFR,ERBB4,NF1,MTOR
GO:0002764	immune response-regulating signaling pathway	1.04e-02	1.04e-02	1	FGFR3,MAP3K1,EP300,PIK3CA,PDGFRA,EGFR,PTEN,ERBB4,NF1,MTOR
GO:0002768	immune response-regulating cell surface receptor signaling pathway	1.28e-03	1.28e-03	1	FGFR3,MAP3K1,EP300,PIK3CA,PDGFRA,EGFR,PTEN,ERBB4,NF1,MTOR
GO:0038093	Fc receptor signaling pathway	1.14e-03	1.14e-03	1	FGFR3,MAP3K1,PIK3CA,PDGFRA,EGFR,PTEN,ERBB4,NF1,MTOR
GO:0038095	Fc-epsilon receptor signaling pathway	2.64e-04	2.64e-04	1	FGFR3,MAP3K1,PIK3CA,PDGFRA,EGFR,PTEN,ERBB4,NF1,MTOR
GO:0032990	cell part morphogenesis	4.28e-02	4.28e-02	1	FGFR3,EPHB6,USP9X,PDGFRA,EGFR,NOTCH1,ARHGAP35,PTEN,ERBB4,LRRK2,NF1
GO:0048858	cell projection morphogenesis	3.94e-02	3.94e-02	1	FGFR3,EPHB6,USP9X,PDGFRA,EGFR,NOTCH1,ARHGAP35,PTEN,ERBB4,LRRK2,NF1
GO:0048812	neuron projection morphogenesis	2.64e-02	2.64e-02	1	FGFR3,EPHB6,USP9X,PDGFRA,EGFR,ARHGAP35,PTEN,ERBB4,LRRK2,NF1
GO:0048017	inositol lipid-mediated signaling	5.30e-05	5.30e-05	1	FGFR3,PIK3CA,PDGFRA,EGFR,PTEN,ERBB4,NF1,MTOR
GO:0048015	phosphatidylinositol-mediated signaling	5.08e-05	5.08e-05	1	FGFR3,PIK3CA,PDGFRA,EGFR,PTEN,ERBB4,NF1,MTOR
GO:0048010	vascular endothelial growth factor receptor signaling pathway	2.21e-02	2.21e-02	1	FGFR3,PIK3CA,PDGFRA,EGFR,ERBB4,NF1,MTOR
GO:0007568	aging	5.29e-03	5.29e-03	1	TP53,CDKN2A,ATM,ATR,LRRK2
GO:0007569	cell aging	4.08e-02	4.08e-02	1	TP53,CDKN2A,ATM,ATR
GO:0090399	replicative senescence	1.42e-05	1.42e-05	1	TP53,CDKN2A,ATM,ATR
GO:0007059	chromosome segregation	3.86e-03	3.86e-03	1	BRCA1,STAG2,PPP2R1A,SMC3,APC,ATM,PTEN
GO:0043620	regulation of DNA-templated transcription in response to stress	1.03e-03	1.03e-03	1	EP300,NFE2L2,VHL,TP53,NOTCH1
GO:0043618	regulation of transcription from RNA polymerase II promoter in response to stress	6.77e-04	6.77e-04	1	EP300,NFE2L2,VHL,TP53,NOTCH1
GO:0045944	positive regulation of transcription from RNA polymerase II promoter	5.85e-03	5.85e-03	1	BRCA1,ATRX,EP300,NFE2L2,TP53,EGFR,TAF1,CDKN2A,NOTCH1,TET2,ASXL1
GO:0036003	positive regulation of transcription from RNA polymerase II promoter in response to stress	4.32e-02	4.32e-02	1	NFE2L2,TP53,NOTCH1
GO:0016477	cell migration	3.30e-02	3.30e-02	1	PIK3CA,USP9X,PDGFRA,APC,ACVR1B,EGFR,NOTCH1,PTEN,ERBB4,LRRK2,NF1
GO:0010332	response to gamma radiation	3.26e-02	3.26e-02	1	TP53,ATM,ATR
GO:0038127	ERBB signaling pathway	8.60e-03	8.60e-03	1	FGFR3,PIK3CA,PDGFRA,EGFR,PTEN,ERBB4,NF1,MTOR
GO:0007173	epidermal growth factor receptor signaling pathway	7.60e-03	7.60e-03	1	FGFR3,PIK3CA,PDGFRA,EGFR,PTEN,ERBB4,NF1,MTOR
GO:0043552	positive regulation of phosphatidylinositol 3-kinase activity	4.93e-02	4.93e-02	1	FGFR3,PDGFRA,ERBB4
GO:0042127	regulation of cell proliferation	8.66e-07	8.66e-07	1	BRCA1,FGFR3,VHL,PDGFRA,APC,BRCA2,TP53,EGFR,CDKN2A,NOTCH1,ATM,BAP1,PBRM1,PTEN,ERBB4,LRRK2,NF1
GO:0008285	negative regulation of cell proliferation	1.47e-06	1.47e-06	1	VHL,APC,BRCA2,TP53,CDKN2A,NOTCH1,ATM,BAP1,PBRM1,PTEN,ERBB4,NF1
GO:0080135	regulation of cellular response to stress	3.32e-04	3.32e-04	1	BRCA1,POLQ,MECOM,EP300,NFE2L2,EGFR,CDKN2A,ATM,ATR,LRRK2,MTOR
GO:0006974	cellular response to DNA damage stimulus	6.12e-06	6.12e-06	1	BRCA1,POLQ,ATRX,EP300,APC,BRCA2,TP53,EGFR,TAF1,CDKN2A,ATM,ATR,SETD2,MTOR
GO:2001020	regulation of response to DNA damage stimulus	1.85e-03	1.85e-03	1	BRCA1,POLQ,EGFR,CDKN2A,ATM,ATR
GO:0042770	signal transduction in response to DNA damage	1.77e-03	1.77e-03	1	BRCA1,ATRX,TP53,CDKN2A,ATM,ATR
GO:0072331	signal transduction by p53 class mediator	2.65e-04	2.65e-04	1	BRCA1,ATRX,EP300,TP53,CDKN2A,ATM,ATR
GO:0030330	DNA damage response, signal transduction by p53 class mediator	8.41e-04	8.41e-04	1	BRCA1,ATRX,TP53,CDKN2A,ATM,ATR
GO:0006259	DNA metabolic process	2.74e-09	2.74e-09	1	BRCA1,POLQ,ATRX,EP300,STAG2,PPP2R1A,SMC3,DNMT3A,PDGFRA,BRCA2,TP53,EGFR,CDKN2A,ATM,TET2,ATR,SETD2,MTOR
GO:0051052	regulation of DNA metabolic process	7.66e-09	7.66e-09	1	BRCA1,POLQ,ATRX,STAG2,PPP2R1A,SMC3,PDGFRA,TP53,EGFR,CDKN2A,ATM,ATR
GO:0006281	DNA repair	4.10e-04	4.10e-04	1	BRCA1,POLQ,EP300,BRCA2,TP53,EGFR,ATM,ATR,SETD2,MTOR
GO:0006302	double-strand break repair	3.60e-02	3.60e-02	1	BRCA1,POLQ,BRCA2,TP53,ATM,ATR
GO:0051053	negative regulation of DNA metabolic process	2.76e-04	2.76e-04	1	POLQ,STAG2,SMC3,TP53,ATM,ATR
GO:2001022	positive regulation of response to DNA damage stimulus	6.19e-04	6.19e-04	1	BRCA1,EGFR,CDKN2A,ATM,ATR
GO:0006260	DNA replication	5.20e-06	5.20e-06	1	ATRX,STAG2,PPP2R1A,SMC3,PDGFRA,BRCA2,TP53,EGFR,ATM,ATR
GO:0006275	regulation of DNA replication	1.45e-07	1.45e-07	1	ATRX,STAG2,PPP2R1A,SMC3,PDGFRA,TP53,EGFR,ATM,ATR
GO:0008156	negative regulation of DNA replication	1.21e-02	1.21e-02	1	STAG2,SMC3,TP53,ATR
GO:1902533	positive regulation of intracellular signal transduction	1.93e-02	1.93e-02	1	FGFR3,PDGFRA,TP53,EGFR,CDKN2A,NOTCH1,ATM,ATR,ERBB4,LRRK2,NF1
GO:1901798	positive regulation of signal transduction by p53 class mediator	1.68e-02	1.68e-02	1	CDKN2A,ATM,ATR
GO:0043517	positive regulation of DNA damage response, signal transduction by p53 class mediator	7.12e-03	7.12e-03	1	CDKN2A,ATM,ATR
GO:0051054	positive regulation of DNA metabolic process	2.76e-03	2.76e-03	1	BRCA1,ATRX,PDGFRA,EGFR,ATM,ATR
GO:0045740	positive regulation of DNA replication	2.51e-03	2.51e-03	1	ATRX,PDGFRA,EGFR,ATM,ATR
GO:0048709	oligodendrocyte differentiation	3.76e-02	3.76e-02	1	NOTCH1,PTEN,NF1
GO:0040029	regulation of gene expression, epigenetic	1.77e-02	1.77e-02	1	BRCA1,ATRX,EP300,SF3B1,ARID1A,DNMT3A,TET2
GO:0070647	protein modification by small protein conjugation or removal	1.94e-04	1.94e-04	1	BRCA1,STAG2,SMC3,NFE2L2,USP9X,VHL,APC,CDKN2A,ATM,BAP1,ASXL1,PTEN,LRRK2
GO:0032446	protein modification by small protein conjugation	2.13e-02	2.13e-02	1	BRCA1,STAG2,SMC3,NFE2L2,VHL,APC,CDKN2A,ATM,PTEN,LRRK2
GO:0045595	regulation of cell differentiation	9.42e-03	9.42e-03	1	PPP2R1A,VHL,PDGFRA,APC,ACVR1B,CDKN2A,NOTCH1,ASXL1,PTEN,LRRK2,NF1,MTOR
GO:0000278	mitotic cell cycle	6.08e-04	6.08e-04	1	MAP3K1,EP300,STAG2,PPP2R1A,SMC3,APC,ACVR1B,TP53,EGFR,CDKN2A,ATM,PBRM1,PTEN
GO:1903047	mitotic cell cycle process	2.79e-03	2.79e-03	1	EP300,PPP2R1A,SMC3,APC,ACVR1B,TP53,EGFR,CDKN2A,ATM,PBRM1,PTEN
GO:0044770	cell cycle phase transition	4.11e-03	4.11e-03	1	EP300,PPP2R1A,APC,ACVR1B,TP53,EGFR,CDKN2A,ATM,PTEN
GO:0044843	cell cycle G1/S phase transition	4.42e-02	4.42e-02	1	ACVR1B,TP53,EGFR,CDKN2A,ATM,PTEN
GO:0044772	mitotic cell cycle phase transition	2.75e-03	2.75e-03	1	EP300,PPP2R1A,APC,ACVR1B,TP53,EGFR,CDKN2A,ATM,PTEN
