sample,type
GSM969967,NC
GSM969968,BE
GSM969969,NE
GSM969970,NC
GSM969971,BE
GSM969972,NE
GSM969981,NC
GSM969982,BE
GSM969983,NE
GSM969984,NC
GSM969985,BE
GSM969986,NE
GSM969992,NC
GSM969993,BE
GSM969994,NE
GSM969995,NC
GSM969996,BE
GSM969997,NE
GSM970002,NC
GSM970003,BE
GSM970004,NE
GSM970009,NC
GSM970010,BE
GSM970011,NE
GSM970012,NC
GSM970013,BE
GSM970014,NE
GSM970017,NC
GSM970018,BE
GSM970019,NE
GSM970024,NC
GSM970025,BE
GSM970026,NE
GSM970027,NC
GSM970028,BE
GSM970029,NE
GSM970030,NC
GSM970031,BE
GSM970032,NE
GSM970033,NC
GSM970034,BE
GSM970035,NE
GSM970040,NC
GSM970041,BE
GSM970042,NE
GSM970043,NC
GSM970044,BE
GSM970045,NE
GSM970048,NC
GSM970049,BE
GSM970050,NE
GSM970053,NC
GSM970054,BE
GSM970055,NE
GSM970060,NC
GSM970061,BE
GSM970062,NE
GSM970063,NC
GSM970064,BE
GSM970065,NE
GSM970070,NC
GSM970071,BE
GSM970072,NE
GSM970077,NC
GSM970078,BE
GSM970079,NE
GSM970080,NC
GSM970081,BE
GSM970082,NE
GSM970087,NC
GSM970088,BE
GSM970089,NE
GSM970092,NC
GSM970093,BE
GSM970094,NE
GSM970099,NC
GSM970100,BE
GSM970101,NE
GSM970106,NC
GSM970107,BE
GSM970108,NE
GSM970109,NC
GSM970110,BE
GSM970111,NE
GSM970114,NC
GSM970115,BE
GSM970116,NE
GSM970119,NC
GSM970120,BE
GSM970121,NE
GSM970127,NC
GSM970128,BE
GSM970129,NE
GSM970134,NC
GSM970135,BE
GSM970136,NE
GSM970137,NC
GSM970138,BE
GSM970139,NE
GSM970144,NC
GSM970145,BE
GSM970146,NE
GSM970147,NC
GSM970148,BE
GSM970149,NE
GSM970150,NC
GSM970151,BE
GSM970152,NE
GSM970153,NC
GSM970154,BE
GSM970155,NE
GSM970158,NC
GSM970159,BE
GSM970160,NE
GSM970163,NC
GSM970164,BE
GSM970165,NE
GSM970171,NC
GSM970172,BE
GSM970173,NE
