GO.ID	Description	p.Val	FDR	Phenotype	Genes
GO:0030198	extracellular matrix organization	3.30e-09	3.30e-09	1	VCAN,MMP2,MMP15,COL1A1,LAMA4,FN1,NID1,FMOD,BMP2,PXDN,POSTN,MYH11,COL4A2,CD36,LUM,PRKCA,CREB3L1,COL6A3,COL1A2,COL3A1,SDC2,MMP1,DPP4,COL5A2,COL15A1,MUC5AC
GO:0043062	extracellular structure organization	3.55e-09	3.55e-09	1	VCAN,MMP2,MMP15,COL1A1,LAMA4,FN1,NID1,FMOD,BMP2,PXDN,POSTN,MYH11,COL4A2,CD36,LUM,PRKCA,CREB3L1,COL6A3,COL1A2,COL3A1,SDC2,MMP1,DPP4,COL5A2,COL15A1,MUC5AC
REAC:1474244	Extracellular matrix organization	1.26e-07	1.26e-07	1	VCAN,MMP2,MMP15,ASPN,COL1A1,LAMA4,FN1,NID1,FMOD,BMP2,COL4A2,CAPN9,LUM,PRKCA,COL6A3,COL1A2,COL3A1,SDC2,MMP1,COL5A2,COL15A1,PECAM1
GO:0044707	single-multicellular organism process	4.42e-06	4.42e-06	1	ENPP4,USH1C,PROM1,PLAUR,LTF,ISL1,FHL1,FUT8,VCAN,TNFRSF17,PLA2G10,ATP2A3,SEMA3C,DGKD,MMP2,TESC,IRAK3,EPB41L4B,SEMA4G,MMP15,AGR2,TMEM176B,ASPN,ACTA2,PBLD,COL1A1,PMP22,FOLR1,VNN1,FN1,ID3,TCF21,DUSP4,CXCR4,FMOD,BHLHE41,MYRF,FOXA2,BMP2,VIL1,SGCE,RAI2,JCHAIN,POSTN,MYH11,MICAL2,COL4A2,TBX3,P2RX4,CD36,EDNRB,ENPP2,FOXF2,DDX60,PLCE1,TPM1,TGFB1I1,CDH11,GATA6,TAGLN,ADRA2A,FARP1,DAB2,PTPRR,PRKCA,TNIK,SLC16A1,SST,CREB3L1,KCNE2,TFF2,TFF1,AZGP1,ACTG2,COL6A3,COL1A2,DLC1,DACT1,TMEM100,GPRC5B,COL3A1,SDC2,GKN1,INSR,MUC13,UGT8,MUC6,NR2F2,PTCH1,CTSE,MMP1,SERPINA1,DPP4,F5,COL5A2,COL15A1,ANG,MGAM,HOXB7
GO:0009887	organ morphogenesis	1.93e-05	1.93e-05	1	PROM1,LTF,ISL1,FHL1,TMEM176B,ASPN,ACTA2,COL1A1,FOLR1,TCF21,BHLHE41,BMP2,MICAL2,TBX3,TPM1,GATA6,DAB2,ACTG2,COL1A2,DLC1,DACT1,INSR,PTCH1,COL5A2
GO:0009888	tissue development	1.13e-04	1.13e-04	1	PROM1,LTF,ISL1,SEMA3C,MMP2,SEMA4G,STS,MMP15,ASPN,ACTA2,PBLD,COL1A1,FOLR1,FN1,TCF21,DUSP4,FOXA2,BMP2,VIL1,MYH11,MICAL2,COL4A2,TBX3,FOXF2,TPM1,TGFB1I1,GATA6,TAGLN,DAB2,ACTG2,DLC1,DACT1,TMEM100,NR2F2,PTCH1,COL5A2,GSTA1
GO:0022617	extracellular matrix disassembly	1.34e-04	1.34e-04	1	MMP2,MMP15,COL1A1,FN1,NID1,COL4A2,COL6A3,COL1A2,COL3A1,MMP1,DPP4,COL5A2,COL15A1
GO:0030574	collagen catabolic process	1.68e-04	1.68e-04	1	MMP2,MMP15,COL1A1,COL4A2,COL6A3,COL1A2,COL3A1,MMP1,COL5A2,COL15A1
GO:0060485	mesenchyme development	3.10e-04	3.10e-04	1	ISL1,SEMA3C,SEMA4G,ACTA2,PBLD,COL1A1,FOLR1,TCF21,FOXA2,BMP2,FOXF2,TGFB1I1,DAB2,ACTG2
GO:0044243	multicellular organism catabolic process	3.30e-04	3.30e-04	1	MMP2,MMP15,COL1A1,COL4A2,COL6A3,COL1A2,COL3A1,MMP1,COL5A2,COL15A1
GO:0007586	digestion	3.81e-04	3.81e-04	1	PBLD,CD36,ADRA2A,SST,TFF2,TFF1,GKN1,MUC13,MUC6,CTSE,MGAM
GO:0009790	embryo development	4.92e-04	4.92e-04	1	ISL1,FUT8,MMP2,MMP15,COL1A1,FOLR1,FN1,TCF21,DUSP4,FOXA2,BMP2,RAI2,MICAL2,COL4A2,TBX3,PTPRR,DLC1,DACT1,INSR,PTCH1,COL5A2
GO:0032501	multicellular organismal process	1.07e-03	1.07e-03	1	ENPP4,USH1C,PROM1,PLAUR,LTF,ISL1,FHL1,FUT8,VCAN,ADAM28,TNFRSF17,PLA2G10,ATP2A3,SEMA3C,DGKD,MMP2,TESC,IRAK3,EPB41L4B,SEMA4G,MMP15,TRPA1,AGR2,TMEM176B,ASPN,ACTA2,PBLD,COL1A1,PMP22,FOLR1,VNN1,SOBP,FN1,ID3,TCF21,DUSP4,CXCR4,FMOD,BHLHE41,MYRF,FOXA2,BMP2,VIL1,SGCE,RAI2,JCHAIN,POSTN,MYH11,MICAL2,COL4A2,TBX3,P2RX4,CD36,EDNRB,ENPP2,FOXF2,DDX60,PLCE1,TPM1,TGFB1I1,CDH11,GATA6,TAGLN,ADRA2A,FARP1,DAB2,PTPRR,FAM134B,PRKCA,TNIK,SLC16A1,SST,CREB3L1,KCNE2,TFF2,TFF1,AZGP1,ACTG2,COL6A3,KCNK5,COL1A2,DLC1,DACT1,TMEM100,MYO1A,GPRC5B,COL3A1,SDC2,GKN1,INSR,MUC13,UGT8,MUC6,NR2F2,PTCH1,MYBPC1,CTSE,MMP1,SERPINA1,DPP4,F5,COL5A2,COL15A1,ANG,MGAM,HOXB7
GO:0048762	mesenchymal cell differentiation	2.01e-03	2.01e-03	1	ISL1,SEMA3C,SEMA4G,PBLD,COL1A1,FOLR1,TCF21,FOXA2,BMP2,FOXF2,TGFB1I1,DAB2
GO:0032963	collagen metabolic process	2.30e-03	2.30e-03	1	MMP2,MMP15,COL1A1,COL4A2,COL6A3,COL1A2,COL3A1,MMP1,COL5A2,COL15A1
GO:0016477	cell migration	2.43e-03	2.43e-03	1	VCAN,SEMA3C,EPB41L4B,SEMA4G,PBLD,COL1A1,FOLR1,FN1,TSPAN1,CXCR4,BMP2,VIL1,EDNRB,ENPP2,TPM1,ADRA2A,DAB2,PTPRR,PRKCA,SLC16A1,SST,COL1A2,DLC1,COL3A1,SDC2,PDGFD,INSR,NR2F2,GCNT1,MMP1,DPP4,ANG
