GO.ID	Description	p.Val	FDR	Phenotype	Genes
GO:0010755	regulation of plasminogen activation	4.98e-02	4.98e-02	1	SERPINE1,THBS1,CLEC3B
GO:0006112	energy reserve metabolic process	4.72e-02	4.72e-02	1	IGF1,SORBS1,SLC2A1,PPP1R3C,ITPR2,GNG11,GFPT2,ADRA2A,CACNA1C,PID1,IGF2,GNG4,IRS1,PPP1R3B,GNG2,ENPP1
GO:0035924	cellular response to vascular endothelial growth factor stimulus	2.04e-03	2.04e-03	1	FLT4,PDGFRB,NR4A1,KDR,PDGFRA,ADAMTS12,EGR3,GAS1
GO:0003044	regulation of systemic arterial blood pressure mediated by a chemical signal	8.06e-03	8.06e-03	1	PCSK5,PDE4D,EDN2,AGT,TPM1,CORIN,F2R,MME
GO:0050886	endocrine process	2.38e-03	2.38e-03	1	C1QTNF3,PCSK5,INHBA,EDN2,RAB11FIP5,AGT,CORIN,C1QTNF1,F2R,MME
GO:0001990	regulation of systemic arterial blood pressure by hormone	3.92e-02	3.92e-02	1	PCSK5,EDN2,AGT,CORIN,F2R,MME
GO:0044057	regulation of system process	4.58e-03	4.58e-03	1	IGF1,PPP1R12B,C1QTNF3,DMPK,CAV1,PDE4D,TSHZ3,INHBA,EDN2,ATP1B2,CNN1,RAB11FIP5,AGT,TPM1,CORIN,CACNA1C,GJA1,DAPK3,NLGN2,HSPB7,C1QTNF1,DES,SPHK1,F2R,GJC1,CACNA1H,PLN,AQP1
GO:0044060	regulation of endocrine process	3.86e-02	3.86e-02	1	C1QTNF3,INHBA,RAB11FIP5,C1QTNF1,F2R
GO:0060986	endocrine hormone secretion	3.86e-02	3.86e-02	1	C1QTNF3,INHBA,RAB11FIP5,AGT,C1QTNF1
GO:0061756	leukocyte adhesion to vascular endothelial cell	4.98e-02	4.98e-02	1	CXCL12,CCL21,ITGB1,VCAM1
GO:0050901	leukocyte tethering or rolling	4.98e-02	4.98e-02	1	CXCL12,CCL21,ITGB1,VCAM1
GO:0098742	cell-cell adhesion via plasma-membrane adhesion molecules	5.78e-04	5.78e-04	1	CLDN11,PCDHB4,CLDN15,PVRL1,PCDHB6,BMP2,AMIGO2,SDK1,ITGB1,PTPRD,VCAM1,DCHS1,MYADM,CLDN5,ROBO2,FAT4,PCDHGC3
GO:0006720	isoprenoid metabolic process	4.90e-02	4.90e-02	1	CYP26B1,GPC1,RARRES2,SDC1,LRP1,ALDH1A2,CYP1B1,HSPG2,SDC2,LPL,GPC6,ALDH1A3
GO:0006721	terpenoid metabolic process	1.13e-02	1.13e-02	1	CYP26B1,GPC1,RARRES2,SDC1,LRP1,ALDH1A2,CYP1B1,HSPG2,SDC2,LPL,GPC6,ALDH1A3
GO:0016101	diterpenoid metabolic process	5.10e-03	5.10e-03	1	CYP26B1,GPC1,RARRES2,SDC1,LRP1,ALDH1A2,CYP1B1,HSPG2,SDC2,LPL,GPC6,ALDH1A3
GO:0001523	retinoid metabolic process	3.98e-03	3.98e-03	1	CYP26B1,GPC1,RARRES2,SDC1,LRP1,ALDH1A2,CYP1B1,HSPG2,SDC2,LPL,GPC6,ALDH1A3
GO:0019216	regulation of lipid metabolic process	2.18e-02	2.18e-02	1	SNAI2,DKK3,PPAP2A,FGFR3,SORBS1,CAV1,RARRES2,FGF1,PDGFRB,TEK,TWIST1,SNAI1,BMP2,PDGFRA,AGT,CCL21,ADRA2A,BMP6,KIT,IRS1,APOD
GO:0045834	positive regulation of lipid metabolic process	3.53e-02	3.53e-02	1	FGFR3,SORBS1,FGF1,PDGFRB,TEK,TWIST1,PDGFRA,AGT,CCL21,BMP6,KIT,IRS1
GO:1903727	positive regulation of phospholipid metabolic process	1.63e-02	1.63e-02	1	FGFR3,PDGFRB,TEK,PDGFRA,CCL21,KIT,IRS1
GO:0043550	regulation of lipid kinase activity	2.65e-02	2.65e-02	1	FGFR3,PDGFRB,TEK,PDGFRA,CCL21,KIT,IRS1
GO:0043551	regulation of phosphatidylinositol 3-kinase activity	9.38e-03	9.38e-03	1	FGFR3,PDGFRB,TEK,PDGFRA,CCL21,KIT,IRS1
GO:0090218	positive regulation of lipid kinase activity	2.43e-03	2.43e-03	1	FGFR3,PDGFRB,TEK,PDGFRA,CCL21,KIT,IRS1
GO:0043552	positive regulation of phosphatidylinositol 3-kinase activity	1.41e-03	1.41e-03	1	FGFR3,PDGFRB,TEK,PDGFRA,CCL21,KIT,IRS1
GO:0007224	smoothened signaling pathway	1.56e-02	1.56e-02	1	EVC,GLI2,CHRD,SFRP1,GLI3,BMP4,GLIS2,SMO,GAS1
GO:0008589	regulation of smoothened signaling pathway	2.77e-02	2.77e-02	1	EVC,CHRD,SFRP1,GLI3,GLIS2,GAS1
GO:0006929	substrate-dependent cell migration	1.80e-03	1.80e-03	1	FBLN1,FN1,ITGA11,SLIT2,VEGFC,ITGA2
GO:0018212	peptidyl-tyrosine modification	1.90e-07	1.90e-07	1	FYN,IGF1,HGF,FLT4,TIE1,FGFR3,IL11,ABL1,SFRP1,CAV1,GHR,PDGFRB,EFEMP1,ERRFI1,TEK,KDR,LIF,PDGFRA,AGT,FGF7,APP,EPHA2,SFRP2,ADRA2A,ANGPT1,KIT,ITGA5,DDR2,GREM1,IGF2,ROR2,SOCS5,CSPG4,F2R,ROR1
GO:0018108	peptidyl-tyrosine phosphorylation	1.90e-07	1.90e-07	1	FYN,IGF1,HGF,FLT4,TIE1,FGFR3,IL11,ABL1,SFRP1,CAV1,GHR,PDGFRB,EFEMP1,ERRFI1,TEK,KDR,LIF,PDGFRA,AGT,FGF7,APP,EPHA2,SFRP2,ADRA2A,ANGPT1,KIT,ITGA5,DDR2,GREM1,IGF2,ROR2,SOCS5,CSPG4,F2R,ROR1
