GO.ID	Description	p.Val	FDR	Phenotype	Genes
GO:0018212	peptidyl-tyrosine modification	1.90e-07	1.90e-07	1	FYN,IGF1,HGF,FLT4,TIE1,FGFR3,IL11,ABL1,SFRP1,CAV1,GHR,PDGFRB,EFEMP1,ERRFI1,TEK,KDR,LIF,PDGFRA,AGT,FGF7,APP,EPHA2,SFRP2,ADRA2A,ANGPT1,KIT,ITGA5,DDR2,GREM1,IGF2,ROR2,SOCS5,CSPG4,F2R,ROR1
GO:0018108	peptidyl-tyrosine phosphorylation	1.90e-07	1.90e-07	1	FYN,IGF1,HGF,FLT4,TIE1,FGFR3,IL11,ABL1,SFRP1,CAV1,GHR,PDGFRB,EFEMP1,ERRFI1,TEK,KDR,LIF,PDGFRA,AGT,FGF7,APP,EPHA2,SFRP2,ADRA2A,ANGPT1,KIT,ITGA5,DDR2,GREM1,IGF2,ROR2,SOCS5,CSPG4,F2R,ROR1
GO:0050730	regulation of peptidyl-tyrosine phosphorylation	2.17e-04	2.17e-04	1	IGF1,HGF,FGFR3,IL11,ABL1,SFRP1,CAV1,GHR,ERRFI1,LIF,AGT,FGF7,APP,SFRP2,ADRA2A,ANGPT1,KIT,ITGA5,GREM1,IGF2,SOCS5,CSPG4
GO:0050731	positive regulation of peptidyl-tyrosine phosphorylation	2.60e-03	2.60e-03	1	IGF1,HGF,FGFR3,IL11,ABL1,GHR,LIF,AGT,FGF7,ADRA2A,ANGPT1,KIT,ITGA5,GREM1,IGF2,CSPG4
GO:0048534	hematopoietic or lymphoid organ development	3.08e-02	3.08e-02	1	FSTL3,ACTN1,GLI2,IL11,SFRP1,CDK6,GLI3,SH3PXD2A,FOXP1,TNFSF4,TCF21,TEK,ACVR2A,INHBA,SOX4,RUNX2,BMP4,KDR,LIF,LRRC17,WNT2B,EPHA2,SFRP2,ITGB1,MMP14,KIT,RUNX1,BCL6B,VCAM1,TGFBR2,HAND2,SOCS5,CD34,PDE2A,MFAP5
GO:0034330	cell junction organization	5.19e-10	5.19e-10	1	SNAI2,EPHA3,ACTN1,FERMT2,FSCN1,COL16A1,SORBS1,SFRP1,CAV1,CLDN15,CNTNAP1,PVRL1,TGFB3,TEK,SNAI1,KDR,FLNC,AGT,THBS1,KIFC3,CDH11,PHLDB2,NLGN4X,ITGB1,GJA1,THY1,FBLIM1,DLC1,GJB2,DAPK3,NLGN2,PARD6G,PLEC,CDH5,GJC1,CLDN5,KRT5,APOD
GO:0045216	cell-cell junction organization	7.07e-09	7.07e-09	1	SNAI2,EPHA3,ACTN1,FERMT2,FSCN1,COL16A1,SORBS1,SFRP1,CAV1,CLDN15,CNTNAP1,PVRL1,TGFB3,TEK,SNAI1,KDR,AGT,THBS1,KIFC3,CDH11,PHLDB2,NLGN4X,GJA1,THY1,DLC1,GJB2,DAPK3,NLGN2,PARD6G,CDH5,GJC1,CLDN5,APOD
GO:0034332	adherens junction organization	1.09e-04	1.09e-04	1	EPHA3,ACTN1,FERMT2,COL16A1,SORBS1,SFRP1,PVRL1,TEK,KDR,THBS1,CDH11,PHLDB2,THY1,DLC1,DAPK3,CDH5,APOD
GO:1903391	regulation of adherens junction organization	2.14e-04	2.14e-04	1	EPHA3,COL16A1,SFRP1,TEK,KDR,THBS1,PHLDB2,DLC1,DAPK3,APOD
GO:1903392	negative regulation of adherens junction organization	4.98e-02	4.98e-02	1	THBS1,PHLDB2,DLC1,APOD
GO:1903393	positive regulation of adherens junction organization	4.98e-02	4.98e-02	1	COL16A1,SFRP1,TEK,KDR
GO:0033627	cell adhesion mediated by integrin	2.07e-07	2.07e-07	1	SNAI2,COL16A1,SERPINE1,PLAU,PODXL,CCL21,ITGA11,CYP1B1,EPHA2,SFRP2,ITGB1,ITGA2,NPNT,DPP4
GO:0031589	cell-substrate adhesion	2.88e-13	2.88e-13	1	EPHA3,ACTN1,FERMT2,FBLN1,COL16A1,LAMB1,SORBS1,SFRP1,CDK6,SERPINE1,ECM2,VWF,FN1,TEK,PLAU,KDR,LYVE1,CD36,CCL21,THBS1,ITGA11,FBLN5,ITGA10,PHLDB2,CASK,ITGB1,ADAMTS12,SPOCK1,THY1,FZD7,ITGA5,VCAM1,ITGA2,DLC1,DAPK3,COL3A1,NPNT,ANTXR1,CD34,MYADM,APOD,ITGA1
GO:0007160	cell-matrix adhesion	5.60e-12	5.60e-12	1	EPHA3,ACTN1,FERMT2,COL16A1,SORBS1,SFRP1,CDK6,SERPINE1,ECM2,TEK,PLAU,KDR,LYVE1,CD36,CCL21,THBS1,ITGA11,FBLN5,ITGA10,PHLDB2,CASK,ITGB1,ADAMTS12,THY1,VCAM1,ITGA2,DLC1,DAPK3,COL3A1,NPNT,CD34,APOD,ITGA1
GO:0061302	smooth muscle cell-matrix adhesion	1.01e-02	1.01e-02	1	SERPINE1,PLAU,APOD
