Entity 1	Entity 2	Weight	Network group	Network
CYP11A1	CYP11B2	0.010909444	Co-expression	Wang-Maris-2006
CYP21A2	CYP11A1	0.046443366	Co-expression	Wang-Maris-2006
CYP17A1	CYP11A1	0.049012236	Co-expression	Wang-Maris-2006
CYP17A1	CYP21A2	0.053022135	Co-expression	Wang-Maris-2006
HSD3B2	CYP11A1	0.04080981	Co-expression	Wang-Maris-2006
HSD3B2	CYP21A2	0.044416163	Co-expression	Wang-Maris-2006
HSD3B2	CYP17A1	0.03849078	Co-expression	Wang-Maris-2006
STAR	CYP11A1	0.047305167	Co-expression	Wang-Maris-2006
STAR	CYP21A2	0.05381234	Co-expression	Wang-Maris-2006
STAR	CYP17A1	0.05479153	Co-expression	Wang-Maris-2006
STAR	HSD3B2	0.047222536	Co-expression	Wang-Maris-2006
SHBG	HSD17B2	0.010904775	Co-expression	Wang-Maris-2006
DHRS2	HSD17B6	0.025306895	Co-expression	Wang-Maris-2006
CYP11B2	HSD3B1	0.016214378	Co-expression	Roth-Zlotnik-2006
HSD17B10	HSD17B8	0.010205636	Co-expression	Roth-Zlotnik-2006
CYP11B1	HSD3B1	0.013615925	Co-expression	Roth-Zlotnik-2006
CYP11B1	CYP11B2	0.011937748	Co-expression	Roth-Zlotnik-2006
CYP11A1	HSD3B1	0.0148144895	Co-expression	Roth-Zlotnik-2006
CYP11A1	CYP11B2	0.0127579635	Co-expression	Roth-Zlotnik-2006
CYP11A1	CYP11B1	0.011647144	Co-expression	Roth-Zlotnik-2006
CYP21A2	HSD3B1	0.017116042	Co-expression	Roth-Zlotnik-2006
CYP21A2	CYP11B2	0.014385133	Co-expression	Roth-Zlotnik-2006
CYP21A2	CYP11B1	0.013167213	Co-expression	Roth-Zlotnik-2006
CYP21A2	CYP11A1	0.014438681	Co-expression	Roth-Zlotnik-2006
CYP17A1	HSD3B1	0.015624326	Co-expression	Roth-Zlotnik-2006
CYP17A1	CYP11B2	0.015000193	Co-expression	Roth-Zlotnik-2006
CYP17A1	CYP11B1	0.01219179	Co-expression	Roth-Zlotnik-2006
CYP17A1	CYP11A1	0.01317292	Co-expression	Roth-Zlotnik-2006
CYP17A1	CYP21A2	0.0149518475	Co-expression	Roth-Zlotnik-2006
HSD3B2	HSD3B1	0.0136461705	Co-expression	Roth-Zlotnik-2006
HSD3B2	CYP11B2	0.012644302	Co-expression	Roth-Zlotnik-2006
HSD3B2	CYP11B1	0.01090559	Co-expression	Roth-Zlotnik-2006
HSD3B2	CYP11A1	0.0119572105	Co-expression	Roth-Zlotnik-2006
